dataset,statistic,quintile,quintile_probability,score_min,score_max,mean_margin,median_margin,failure_probability
n4q29d43,S_v1,4,0.22952426224946976,-0.22413793103448276,-0.18965517241379309,4.4027895665770469,4,0.0063762379295905294
n4q29d43,S_v1,5,0.18385198712348938,-0.18103448275862069,-0,4.6040435445737868,4,0.0050854991359891941
n4q29d43,S_1sum,1,0.19333377908333205,0,0.39655172413793105,4.7092254107291573,5,0.0038792784023009758
n4q29d43,S_1sum,2,0.19942050677491352,0.40517241379310343,0.46551724137931033,4.4731643254288249,4,0.0057777345987896512
n4q29d43,S_1sum,3,0.21974572417093441,0.47413793103448276,0.52586206896551724,4.494318165760947,4,0.0058754593340991637
n4q29d43,S_1sum,4,0.18760928770643659,0.53448275862068961,0.58620689655172409,4.4521622282101054,4,0.0063372045107113568
n4q29d43,S_1sum,5,0.19989070226438344,0.59482758620689657,0.94827586206896552,4.449064887646843,4,0.0061413263600103617
n4q29d43,E_u_1_4,1,0.14556217193603516,0,0,4.6987831051891531,5,0.0037251195473783521
n4q29d43,E_u_1_4,2,0.32909774780273438,0.25,0.25,4.509545013448605,4,0.0051492557790277149
n4q29d43,E_u_1_4,4,0.33901023864746094,0.5,0.5,4.4807453310583085,4,0.0068304314619593194
n4q29d43,E_u_1_4,5,0.18632984161376953,0.75,1,4.4417426543600129,4,0.0056747897377431786
n4q29d43,E_v_1_4,1,0.14931362122297287,-1,-0.75,4.6444628394323679,5,0.0042565883891697506
n4q29d43,E_v_1_4,2,0.31693680584430695,-0.5,-0.5,4.5282512145405951,4,0.0054591586788020315
n4q29d43,E_v_1_4,4,0.36710032820701599,-0.25,-0.25,4.4731682433982662,4,0.0060159391181303012
n4q29d43,E_v_1_4,5,0.16664924472570419,-0,-0,4.4641147988685637,4,0.006214163652833918
n4q29d43,E_sum_1_4,1,0.14939754910301417,-2,-1.25,4.5390868139621272,4,0.0052795528191272268
n4q29d43,E_sum_1_4,2,0.21330753876827657,-1,-1,4.4893461741393361,4,0.0060466490292790318
n4q29d43,E_sum_1_4,3,0.28086568834260106,-0.75,-0.75,4.4942234432165105,4,0.005842496566381263
n4q29d43,E_sum_1_4,4,0.2319466806948185,-0.5,-0.5,4.5159544453947502,5,0.005399022636148219
n4q29d43,E_sum_1_4,5,0.1244825430912897,-0.25,-0,4.5726917521989678,5,0.0051254059883871191
n4q29d43,E_u_3_8,1,0.20157241821289062,0,0,4.6850834188448491,5,0.0042535108272932004
n4q29d43,E_u_3_8,2,0.39189910888671875,0.25,0.25,4.5197251423278724,4,0.0048456355582134443
n4q29d43,E_u_3_8,4,0.2925872802734375,0.5,0.5,4.4366962594998398,4,0.0075470511823154335
n4q29d43,E_u_3_8,5,0.11394119262695312,0.75,1,4.3962431636292933,4,0.0056630260732280962
n4q29d43,E_v_3_8,1,0.14931362122297287,-1,-0.75,4.6444628394323679,5,0.0042565883891697506
n4q29d43,E_v_3_8,2,0.31693680584430695,-0.5,-0.5,4.5282512145405951,4,0.0054591586788020315
n4q29d43,E_v_3_8,4,0.36710032820701599,-0.25,-0.25,4.4731682433982662,4,0.0060159391181303012
n4q29d43,E_v_3_8,5,0.16664924472570419,-0,-0,4.4641147988685637,4,0.006214163652833918
n4q29d43,E_sum_3_8,1,0.28877707198262215,-2,-1,4.4944777235745104,4,0.0059173738491464017
n4q29d43,E_sum_3_8,3,0.28107128292322159,-0.75,-0.75,4.4923112261793978,4,0.0058393636321808261
n4q29d43,E_sum_3_8,4,0.26497922837734222,-0.5,-0.5,4.5246755216597272,5,0.005292170797704816
