key_id,x_numerator,coordinate_margin,Nz,Ez
11,5,-1,4831838208,4831838208
11,5,1,27246198784,0
11,5,2,81067507712,0
11,5,3,206292647936,0
11,5,4,857651281920,0
11,5,5,834968485888,0
11,5,6,1724966240256,0
11,5,7,1252385619968,0
11,5,8,507343011840,0
11,7,-1,45902462976,45902462976
11,7,1,63350767616,0
11,7,2,239712862208,0
11,7,3,338228674560,0
11,7,4,661693399040,0
11,7,5,444529115136,0
11,7,6,1229568606208,0
11,7,7,723836207104,0
11,7,8,376346509312,0
11,9,-3,2415919104,2415919104
11,9,-1,30601641984,30601641984
11,9,1,24561844224,0
11,9,2,166161547264,0
11,9,3,262664093696,0
11,9,4,268703891456,0
11,9,5,295815872512,0
11,9,6,398760869888,0
11,9,7,399968829440,0
11,9,8,74490839040,0
11,11,-3,7247757312,7247757312
11,11,-1,49526341632,49526341632
11,11,1,20937965568,0
11,11,2,204950470656,0
11,11,3,264274706432,0
11,11,4,638473732096,0
11,11,5,646661013504,0
11,11,6,1213328261120,0
11,11,7,1076963049472,0
11,11,8,275683213312,0
11,13,-1,7247757312,7247757312
11,13,1,45097156608,0
11,13,2,128177930240,0
11,13,3,386144403456,0
11,13,4,641560739840,0
11,13,5,1217623228416,0
11,13,6,1453175341056,0
11,13,7,2013534355456,0
11,13,8,429630947328,0
11,14,-1,10871635968,10871635968
11,14,1,1207959552,0
11,14,2,53552873472,0
11,14,3,122809221120,0
11,14,4,191931351040,0
11,14,5,574988746752,0
11,14,6,825573244928,0
11,14,7,1444451188736,0
11,14,8,348026568704,0
12,0,3,55834574848,0
12,0,4,300647710720,0
12,0,5,115964116992,0
12,0,6,193273528320,0
12,0,7,274877906944,0
12,0,8,158913789952,0
12,2,-1,34359738368,34359738368
12,2,1,57982058496,0
12,2,2,165356240896,0
12,2,3,274877906944,0
12,2,4,710817087488,0
12,2,5,502511173632,0
12,2,6,783831531520,0
12,2,7,1028644667392,0
12,2,8,289910292480,0
12,4,-1,53687091200,53687091200
12,4,1,38654705664,0
12,4,2,285615325184,0
12,4,3,212600881152,0
12,4,4,541165879296,0
