dataset,score,threshold,false_positive_rate,true_positive_rate,auc
n4q29d43,joint,0.70534825502958165,0.0046505873553151214,0.0051578523785643102,0.55374419766571781
n4q29d43,joint,0.70061981779763105,0.0049499824149432181,0.005457828924560244,0.55374419766571781
n4q29d43,joint,0.69796236332639927,0.0053130145469130587,0.0059721174184392302,0.55374419766571781
n4q29d43,joint,0.68364570543877345,0.0056896731073711503,0.00636196604735119,0.55374419766571781
n4q29d43,joint,0.68178344913957134,0.006249859558876184,0.0070009641832745936,0.55374419766571781
n4q29d43,joint,0.67767815793016339,0.0066735139816646149,0.0075865879620404557,0.55374419766571781
n4q29d43,joint,0.67383437452859452,0.0067041200169952403,0.0076638272145056066,0.55374419766571781
n4q29d43,joint,0.67197211822939251,0.0068338961675161406,0.0079176044359984387,0.55374419766571781
n4q29d43,joint,0.6701098619301904,0.0069471070878019013,0.0080685343347569119,0.55374419766571781
n4q29d43,joint,0.66983215783728578,0.0070684923315364381,0.0082752250802036881,0.55374419766571781
n4q29d43,joint,0.66568214674031567,0.0075621356013296078,0.0085828798968638088,0.55374419766571781
n4q29d43,joint,0.66095370950836496,0.00780638789931201,0.0089090351954080448,0.55374419766571781
n4q29d43,joint,0.6595177166409687,0.0078299107229269915,0.0089697557899037546,0.55374419766571781
n4q29d43,joint,0.65829625503713318,0.0079719911484642404,0.0091142110388048592,0.55374419766571781
n4q29d43,joint,0.65765546034176658,0.0081277394460040654,0.0092717297238765206,0.55374419766571781
n4q29d43,joint,0.65579320404256458,0.0084220780749360413,0.0096420713948848682,0.55374419766571781
n4q29d43,joint,0.65393094774336258,0.0085405684774876173,0.00978279126886826,0.55374419766571781
n4q29d43,joint,0.64887774490751482,0.0087137616262933648,0.0099452385736230157,0.55374419766571781
n4q29d43,joint,0.64663705162073915,0.0089393663037857802,0.010150103135776686,0.55374419766571781
n4q29d43,joint,0.64477479532153714,0.009247216630573124,0.010588397502163093,0.55374419766571781
n4q29d43,joint,0.64397959714950737,0.0098494656442665949,0.011371850886987601,0.55374419766571781
n4q29d43,joint,0.64211734085030536,0.010872468064013612,0.012459311909906741,0.55374419766571781
n4q29d43,joint,0.64054278039141888,0.011045538813965606,0.012583336733216245,0.55374419766571781
n4q29d43,joint,0.63801204964089731,0.011428655831014463,0.013243097328057268,0.55374419766571781
n4q29d43,joint,0.63223464937574969,0.011516400882466912,0.013393757449738352,0.55374419766571781
n4q29d43,joint,0.6301660495480198,0.011765623563170773,0.013610554459545827,0.55374419766571781
n4q29d43,joint,0.62601603845104969,0.012150424018113041,0.014163971005687856,0.55374419766571781
n4q29d43,joint,0.62369539175327149,0.012476792630016212,0.01469653170853932,0.55374419766571781
n4q29d43,joint,0.62183313545406949,0.013011956593901593,0.015213824066414633,0.55374419766571781
n4q29d43,joint,0.62128760121909898,0.013115372474209009,0.01532554809259928,0.55374419766571781
n4q29d43,joint,0.61985160835170272,0.013125448896918104,0.015381884809587396,0.55374419766571781
n4q29d43,joint,0.61798935205250061,0.013223193542530843,0.015460784228682641,0.55374419766571781
n4q29d43,joint,0.6161270957532986,0.013425262313603963,0.015687474794001337,0.55374419766571781
n4q29d43,joint,0.6142648394540966,0.013542003776436518,0.015753881459205119,0.55374419766571781
n4q29d43,joint,0.61412481977042033,0.01389388789573253,0.016168528827154117,0.55374419766571781
n4q29d43,joint,0.61169938056342388,0.014217935085473006,0.016651409043600001,0.55374419766571781
n4q29d43,joint,0.60983712426422176,0.014799469776079608,0.017137485080808819,0.55374419766571781
n4q29d43,joint,0.60921163661824884,0.015085432600522815,0.017585688566768603,0.55374419766571781
n4q29d43,joint,0.60697094333147317,0.015455801756465534,0.018126249197568837,0.55374419766571781
n4q29d43,joint,0.60510868703227116,0.016099302783840537,0.018706959920713761,0.55374419766571781
n4q29d43,joint,0.60431348886024139,0.016328590695132743,0.01899142428475975,0.55374419766571781
n4q29d43,joint,0.60245123256103938,0.016617716426541199,0.019565079299726774,0.55374419766571781
n4q29d43,joint,0.6008766721021529,0.017325638733548119,0.020087720506963423,0.55374419766571781
n4q29d43,joint,0.59834594135163133,0.017373123518129047,0.020195631337919573,0.55374419766571781
n4q29d43,joint,0.59256854108648371,0.01754554340588358,0.020517060349588757,0.55374419766571781
